grade_num,stage,domain,theme,kp_code,kp_name,content_requirement,academic_requirement,teaching_hint,depth_level,core_competency,source_ref
1,小学低,整本书阅读,阅读兴趣,CHN-G1-BOK-001,亲近图画书和儿童读物,在教师和家长引导下阅读图画书、童谣集、浅近童话等儿童读物，感受课外阅读乐趣。,能持续听读或自主阅读一本短小儿童读物，愿意向同伴介绍书名、人物或喜欢的画面。,建立班级图书角、亲子共读和阅读分享机制，不把整本书阅读变成答题训练。,1,语言运用;审美创造;文化自信,义务教育语文课程标准(2022年版)·第一学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,文化传承与理解,传统语言材料,CHN-G1-CUL-001,诵读浅近古诗和传统童谣,诵读浅近古诗、童谣、儿歌、成语和传统节日相关语言材料，感受中华优秀传统文化。,能背诵或熟读若干浅近作品，知道其中与自然、节日、生活或美好品德相关的内容。,结合节日、节气、校园活动开展诵读和展示，强调感受和积累。,1,文化自信;审美创造;语言运用,义务教育语文课程标准(2022年版)·第一学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,梳理与探究,字词分类,CHN-G1-ORG-001,按事物特点分类词语,在识字、阅读和生活观察中，学习按颜色、大小、用途、类别、场景等特点整理词语。,能对简单词语或图片进行分类，说出分类依据，初步发现语言和事物之间的联系。,用游戏化分类、词语卡片、实物整理等方式培养梳理意识。,1,思维能力;语言运用,义务教育语文课程标准(2022年版)·第一学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,表达与交流,倾听与应答,CHN-G1-EXP-001,认真倾听并清楚说话,学习在课堂和生活情境中认真听别人讲话，听懂简单要求，并用普通话作出回应。,能听清主要意思，按要求回答问题或表达想法，初步做到说话完整、态度自然。,以同伴交流、课堂问答、生活对话为主要情境，重视倾听习惯。,1,语言运用;思维能力,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,表达与交流,看图说话,CHN-G1-EXP-002,看图说话与口头讲述,观察图画、实物或生活场景，学习按一定顺序说清看到的内容和自己的想法。,能围绕一幅图或一个生活场景说几句连贯的话，表达基本清楚。,可用看图讲故事、介绍物品、说校园见闻等活动训练口头表达。,1,语言运用;思维能力,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,识字与写字,汉语拼音与识字基础,CHN-G1-HZW-001,认识汉字与汉语拼音,认识汉字是记录汉语的重要符号，学习汉语拼音，借助拼音认读汉字、正音和阅读浅近文字。,能借助汉语拼音认读生字和简单词句，初步建立音、形、义之间的联系，形成学习汉字和普通话的兴趣。,采用儿歌、游戏、图文对应、生活标识识读等方式教学，避免机械抄记拼音规则。,1,语言运用;文化自信,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,识字与写字,规范书写起步,CHN-G1-HZW-002,掌握基本笔画和笔顺,学习汉字基本笔画、常用偏旁和基本笔顺规则，认识田字格，养成正确坐姿、执笔姿势和书写习惯。,能按基本笔顺规则书写常用汉字，做到姿势正确、笔画清楚、结构初步端正。,低年级写字应重习惯和规范，少量多次，重视教师示范和即时反馈。,1,语言运用;审美创造,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,识字与写字,主动识字,CHN-G1-HZW-003,认读常用字与主动识字,通过课文、生活标识、图书、校园环境等多种渠道认识常用汉字，积累常用词语。,能认读教材和生活中常见汉字，愿意在生活中主动识字，并能用简单词语表达意思。,鼓励课内外结合识字，保护识字兴趣，不以提前识字数量作为唯一评价标准。,1,语言运用;文化自信,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,跨学科学习,生活语文,CHN-G1-PRA-001,在生活场景中用语文,在入学适应、校园生活、劳动、艺术、科学观察等活动中，运用识字、倾听、表达和阅读能力完成简单任务。,能在真实场景中读懂简单提示，表达需要，记录或讲述一次活动体验。,选择安全、贴近生活的任务，如认识校园标识、介绍植物、制作姓名牌等。,1,语言运用;思维能力;文化自信,义务教育语文课程标准(2022年版)·第一学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,阅读与鉴赏,朗读与语感,CHN-G1-REA-001,朗读儿歌童谣和短文,学习朗读儿歌、童谣、浅近古诗和短小课文，感受汉语节奏、韵律和语气。,能用普通话正确朗读短小文本，做到声音响亮、停顿基本合适，初步感受语言的节奏美。,多采用听读、跟读、表演读、配乐读等方式，重在兴趣和语感。,1,语言运用;审美创造,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
