stage_group,grade_num,domain,theme,total
义务教育1-9,1,整本书阅读,阅读兴趣,1
义务教育1-9,1,文化传承与理解,传统语言材料,1
义务教育1-9,1,梳理与探究,字词分类,1
义务教育1-9,1,表达与交流,倾听与应答,1
义务教育1-9,1,表达与交流,看图说话,1
义务教育1-9,1,识字与写字,主动识字,1
义务教育1-9,1,识字与写字,汉语拼音与识字基础,1
义务教育1-9,1,识字与写字,规范书写起步,1
义务教育1-9,1,跨学科学习,生活语文,1
义务教育1-9,1,阅读与鉴赏,图文阅读,1
义务教育1-9,1,阅读与鉴赏,朗读与语感,1
义务教育1-9,2,整本书阅读,阅读分享,1
义务教育1-9,2,文化传承与理解,传统文化积累,1
义务教育1-9,2,梳理与探究,语言规律发现,1
义务教育1-9,2,表达与交流,写话起步,1
义务教育1-9,2,表达与交流,口语交际,1
义务教育1-9,2,识字与写字,独立识字,1
义务教育1-9,2,识字与写字,规范书写提升,1
义务教育1-9,2,识字与写字,词句积累,1
义务教育1-9,2,跨学科学习,综合语文实践,1
义务教育1-9,2,阅读与鉴赏,信息提取,1
义务教育1-9,2,阅读与鉴赏,文学体验,1
义务教育1-9,2,阅读与鉴赏,朗读与默读起步,1
义务教育1-9,3,整本书阅读,阅读计划与分享,1
义务教育1-9,3,文化传承与理解,传统文化体验,1
义务教育1-9,3,梳理与探究,语言材料分类,1
义务教育1-9,3,梳理与探究,问题探究,1
义务教育1-9,3,表达与交流,习作修改,1
义务教育1-9,3,表达与交流,日常口语交际,1
义务教育1-9,3,表达与交流,观察与习作起步,1
义务教育1-9,3,识字与写字,独立识字与词语理解,1
义务教育1-9,3,识字与写字,硬笔书写,1
义务教育1-9,3,跨学科学习,校园活动语文实践,1
义务教育1-9,3,阅读与鉴赏,叙事性作品理解,1
义务教育1-9,3,阅读与鉴赏,古诗文积累,1
义务教育1-9,3,阅读与鉴赏,实用性阅读,1
义务教育1-9,3,阅读与鉴赏,朗读默读与略读,1
义务教育1-9,4,整本书阅读,多类型整本书阅读,1
义务教育1-9,4,文化传承与理解,文化主题阅读,1
义务教育1-9,4,梳理与探究,语言现象梳理,1
义务教育1-9,4,表达与交流,习作修改与评价,1
义务教育1-9,4,表达与交流,想象习作,1
义务教育1-9,4,表达与交流,有条理口语表达,1
义务教育1-9,4,表达与交流,记实习作,1
义务教育1-9,4,识字与写字,书写质量与速度,1
义务教育1-9,4,识字与写字,字词理解与运用,1
义务教育1-9,4,识字与写字,工具书使用,1
义务教育1-9,4,跨学科学习,调查报告与成果展示,1
义务教育1-9,4,阅读与鉴赏,人物形象与情感,1
义务教育1-9,4,阅读与鉴赏,把握文章主要内容,1
义务教育1-9,4,阅读与鉴赏,诗文鉴赏,1
义务教育1-9,4,阅读与鉴赏,说明性文本阅读,1
义务教育1-9,5,整本书阅读,长篇作品阅读,1
义务教育1-9,5,文化传承与理解,传统文化和革命文化阅读,1
义务教育1-9,5,梳理与探究,专题资料整理,1
义务教育1-9,5,梳理与探究,表达方法梳理,1
义务教育1-9,5,表达与交流,习作修改与资料使用,1
义务教育1-9,5,表达与交流,想象与应用文表达,1
义务教育1-9,5,表达与交流,观点表达与讨论,1
义务教育1-9,5,表达与交流,记实习作提升,1
义务教育1-9,5,识字与写字,硬笔书写与行款,1
义务教育1-9,5,识字与写字,自主识字与词语辨析,1
义务教育1-9,5,识字与写字,语言积累运用,1
义务教育1-9,5,跨学科学习,资料搜集与成果展示,1
义务教育1-9,5,阅读与鉴赏,古诗文理解鉴赏,1
义务教育1-9,5,阅读与鉴赏,实用与非连续性文本,1
