grade_num,stage,domain,theme,kp_code,kp_name,source_ref_has_2025,hit_task_group,hit_whole_book,hit_cross_media,hit_reasoning_argument,hit_culture,hit_evaluation_quality,hit_integrated_practice,hit_digital_ai,source_ref
1,小学低,整本书阅读,阅读兴趣,CHN-G1-BOK-001,亲近图画书和儿童读物,1,0,1,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第一学段·整本书阅读;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,文化传承与理解,传统语言材料,CHN-G1-CUL-001,诵读浅近古诗和传统童谣,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第一学段·文化自信与语言积累;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,梳理与探究,字词分类,CHN-G1-ORG-001,按事物特点分类词语,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·梳理与探究;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,表达与交流,倾听与应答,CHN-G1-EXP-001,认真倾听并清楚说话,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,表达与交流,看图说话,CHN-G1-EXP-002,看图说话与口头讲述,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·表达与交流;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,识字与写字,汉语拼音与识字基础,CHN-G1-HZW-001,认识汉字与汉语拼音,1,0,0,0,0,1,0,0,0,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,识字与写字,规范书写起步,CHN-G1-HZW-002,掌握基本笔画和笔顺,1,0,0,0,0,0,1,0,0,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,识字与写字,主动识字,CHN-G1-HZW-003,认读常用字与主动识字,1,0,0,0,0,1,1,0,0,义务教育语文课程标准(2022年版)·第一学段·识字与写字;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,跨学科学习,生活语文,CHN-G1-PRA-001,在生活场景中用语文,1,0,0,0,0,1,0,1,0,义务教育语文课程标准(2022年版)·第一学段·跨学科学习;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,阅读与鉴赏,朗读与语感,CHN-G1-REA-001,朗读儿歌童谣和短文,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
1,小学低,阅读与鉴赏,图文阅读,CHN-G1-REA-002,借助图画理解文本,1,0,0,0,0,0,0,0,0,义务教育语文课程标准(2022年版)·第一学段·阅读与鉴赏;参考义务教育课程标准日常修订版(2022年版2025年修订)口径/解读方向
